scenario,algorithm,metric_name,mean,std,min,max,replications
limited_resources,fifo,treated_patients,12.8,0.8718,11.0,14.0,10
limited_resources,fifo,untreated_patients,5.2,0.8718,4.0,7.0,10
limited_resources,fifo,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
limited_resources,fifo,services_started_from_arrival,2.1,0.3,2.0,3.0,10
limited_resources,fifo,services_started_from_service_end,10.7,1.005,9.0,12.0,10
limited_resources,fifo,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
limited_resources,fifo,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
limited_resources,fifo,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
limited_resources,fifo,average_time_to_service_start,129.079,14.2079,106.43,146.08,10
limited_resources,fifo,patients_deteriorated_while_waiting,15.9,0.3,15.0,16.0,10
limited_resources,fifo,critical_patients_waited,1.4,1.0198,0.0,3.0,10
limited_resources,fifo,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
limited_resources,fifo,average_waiting_time,129.079,14.2079,106.43,146.08,10
limited_resources,fifo,max_waiting_time,284.3,32.982,230.0,343.0,10
limited_resources,fifo,critical_late_patients,7.8,2.8566,2.0,12.0,10
limited_resources,fifo,total_clinical_impact,65377.455,7900.0054,51521.3,77791.0,10
limited_resources,fifo,average_resource_utilization,0.3318,0.012,0.3137,0.3488,10
limited_resources,fifo,total_doctor_round_time,37.86,1.8911,34.1,40.6,10
limited_resources,fifo,number_of_doctor_rounds,30.7,0.4583,30.0,31.0,10
limited_resources,fifo,average_doctor_round_duration,1.2341,0.0751,1.1,1.3533,10
limited_resources,fifo,total_planning_overhead_time,3.07,0.0458,3.0,3.1,10
limited_resources,greedy,treated_patients,12.6,0.6633,11.0,13.0,10
limited_resources,greedy,untreated_patients,5.4,0.6633,5.0,7.0,10
limited_resources,greedy,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
limited_resources,greedy,services_started_from_arrival,2.1,0.3,2.0,3.0,10
limited_resources,greedy,services_started_from_service_end,10.5,0.8062,9.0,11.0,10
limited_resources,greedy,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
limited_resources,greedy,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
limited_resources,greedy,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
limited_resources,greedy,average_time_to_service_start,132.611,15.6261,100.08,149.54,10
limited_resources,greedy,patients_deteriorated_while_waiting,15.9,0.3,15.0,16.0,10
limited_resources,greedy,critical_patients_waited,1.4,1.0198,0.0,3.0,10
limited_resources,greedy,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
limited_resources,greedy,average_waiting_time,132.611,15.6261,100.08,149.54,10
limited_resources,greedy,max_waiting_time,296.4,28.9938,230.0,343.0,10
limited_resources,greedy,critical_late_patients,7.8,2.8566,2.0,12.0,10
limited_resources,greedy,total_clinical_impact,66965.86,7639.4622,52766.7,77791.0,10
limited_resources,greedy,average_resource_utilization,0.3326,0.0126,0.3152,0.3543,10
limited_resources,greedy,total_doctor_round_time,44.47,1.7989,40.8,46.6,10
limited_resources,greedy,number_of_doctor_rounds,30.7,0.4583,30.0,31.0,10
limited_resources,greedy,average_doctor_round_duration,1.4494,0.0738,1.3161,1.5533,10
limited_resources,greedy,total_planning_overhead_time,9.21,0.1375,9.0,9.3,10
limited_resources,astar,treated_patients,13.4,0.6633,12.0,14.0,10
limited_resources,astar,untreated_patients,4.6,0.6633,4.0,6.0,10
limited_resources,astar,number_of_initial_assessments,18.0,0.0,18.0,18.0,10
